I, [2024-11-10T03:51:36.244635 #36864]  INFO -- : ItemCollection initialized
I, [2024-11-10T03:51:36.244754 #36864]  INFO -- : Media directory is set up at media_dir
I, [2024-11-10T03:51:36.244768 #36864]  INFO -- : Start parsing process
I, [2024-11-10T03:51:36.244778 #36864]  INFO -- : Checking URL response: https://rozetka.com.ua/notebooks/c80004/
I, [2024-11-10T03:51:42.068626 #36864]  INFO -- : Item 1 Link: https://rozetka.com.ua/ua/lenovo-83bg001ara/p379912026/
I, [2024-11-10T03:51:42.100783 #36864]  INFO -- : Item 2 Link: https://rozetka.com.ua/ua/acer-nhqn4eu001/p391395969/
I, [2024-11-10T03:51:42.106392 #36864]  INFO -- : Item 3 Link: https://rozetka.com.ua/ua/asus-90nr0eb8-m00bz0/p439082606/
I, [2024-11-10T03:51:42.113827 #36864]  INFO -- : Item 4 Link: https://rozetka.com.ua/ua/apple_macbook_air_13_m1_256gb_2020_space_gray/p245161909/
I, [2024-11-10T03:51:42.118184 #36864]  INFO -- : Item 5 Link: https://rozetka.com.ua/ua/hp-a2bk1ea/p444274220/
I, [2024-11-10T03:51:42.121852 #36864]  INFO -- : Item 6 Link: https://rozetka.com.ua/ua/lenovo-82rk011nra/p400966992/
I, [2024-11-10T03:51:42.125204 #36864]  INFO -- : Item 7 Link: https://rozetka.com.ua/ua/acer-nhqmmeu002/p389616495/
I, [2024-11-10T03:51:42.131804 #36864]  INFO -- : Item 8 Link: https://rozetka.com.ua/ua/asus-90nr0bv7-m00ey0/p431733437/
I, [2024-11-10T03:51:42.135156 #36864]  INFO -- : Item 9 Link: https://rozetka.com.ua/ua/hp-a71gjea/p444293930/
I, [2024-11-10T03:51:42.138616 #36864]  INFO -- : Item 10 Link: https://rozetka.com.ua/ua/asus-90nr0jf7-m004n0/p418978512/
I, [2024-11-10T03:51:42.141694 #36864]  INFO -- : Item 11 Link: https://rozetka.com.ua/ua/lenovo-82xq00l4ra/p449732579/
I, [2024-11-10T03:51:42.148083 #36864]  INFO -- : Item 12 Link: https://rozetka.com.ua/ua/hp-9m3j8at/p438413891/
I, [2024-11-10T03:51:42.152544 #36864]  INFO -- : Item 13 Link: https://rozetka.com.ua/ua/asus-90nr0je7-m004j0/p419774217/
I, [2024-11-10T03:51:42.155860 #36864]  INFO -- : Item 14 Link: https://rozetka.com.ua/ua/apple-mrxq3ua-a/p420775542/
I, [2024-11-10T03:51:42.159027 #36864]  INFO -- : Item 15 Link: https://rozetka.com.ua/ua/lenovo-83gs00b6ra/p442928516/
I, [2024-11-10T03:51:42.164700 #36864]  INFO -- : Item 16 Link: https://rozetka.com.ua/ua/dell-n5315pvnb3520ua-w11p/p404126673/
I, [2024-11-10T03:51:42.167959 #36864]  INFO -- : Item 17 Link: https://rozetka.com.ua/ua/hp-a2bk0ea/p444256466/
I, [2024-11-10T03:51:42.170918 #36864]  INFO -- : Item 18 Link: https://rozetka.com.ua/ua/lenovo-82vg00hhra/p379901997/
I, [2024-11-10T03:51:42.173961 #36864]  INFO -- : Item 19 Link: https://rozetka.com.ua/ua/apple-macbook-air-136-m2-256gb-2022-space-gray/p343424014/
I, [2024-11-10T03:51:42.177541 #36864]  INFO -- : Item 20 Link: https://rozetka.com.ua/ua/hp-7x8e4ea/p373807101/
I, [2024-11-10T03:51:42.181632 #36864]  INFO -- : Item 21 Link: https://rozetka.com.ua/ua/acer-nhqm0eu00d/p399417762/
I, [2024-11-10T03:51:42.184728 #36864]  INFO -- : Item 22 Link: https://rozetka.com.ua/ua/msi-b12uc-1884xua/p428818835/
